project_id,label,close_rate,close_time
3031,Multi,0.9587,214.2166
3045,Multi,0.8885,83.5333
3070,Single,0.9972,52.7016
3080,Multi,0.9731,91.1271
3085,Multi,0.7085,16.7831
3094,Multi,0.8875,125.1206
3095,Multi,0.9624,65.1821
3137,Multi,0.9113,141.7464
3164,Multi,0.5188,197.4078
3174,Single,0.7425,96.4726
3208,Multi,1.0000,396.7619
3209,Multi,0.8915,351.0996
3211,"No Label",0.9609,42.3459
3227,Multi,0.9606,172.1926
3231,Multi,0.9373,219.0444
3239,Multi,0.8416,134.2627
3246,Multi,0.8807,418.4030
3264,Single,0.9120,139.6753
3345,Multi,0.6020,173.3355
3353,Multi,0.7447,51.2071
3377,Multi,0.9983,38.3079
3379,Multi,0.8406,195.1703
3386,Multi,0.8546,103.1786
3403,Multi,0.9060,361.1509
3409,Multi,0.9829,92.6546
3425,Multi,0.9652,532.1216
3430,Single,0.5072,117.8352
3470,Multi,0.7500,251.7031
3482,Multi,0.4650,90.1990
3486,Multi,0.9645,135.8383
3500,Multi,0.7906,364.6716
3516,Multi,0.9749,93.3395
3519,Single,0.8756,281.8263
3619,Multi,0.8615,108.1830
3623,"No Label",0.8750,100.5000
3633,Multi,0.3403,213.8070
3656,Multi,0.5723,136.1110
3665,Multi,0.9036,130.8040
3671,Multi,0.8854,175.8750
3680,Multi,0.8685,152.9522
3682,Multi,0.8169,117.8837
3697,Multi,0.6164,65.4656
3714,Multi,0.9986,138.4416
3719,Multi,0.6767,42.0756
3721,Multi,0.8303,65.9195
3732,Multi,0.8738,67.5615
3761,Multi,0.8776,126.3795
3777,Multi,0.7575,135.4792
3794,Multi,0.8607,48.4424
3805,Multi,0.3841,134.8919
3816,Multi,0.5095,125.0743
3818,Multi,0.7775,164.7129
3855,Single,0.7574,162.2022
3867,Multi,0.9334,145.0138
3894,Multi,0.7664,123.7018
3906,Multi,0.8616,35.8072
3912,Multi,0.6692,183.3546
3918,Multi,0.8501,212.5933
3931,Multi,0.9888,153.9566
3944,Multi,0.8747,144.2284
3969,Multi,0.7864,112.1463
3984,Multi,0.8565,40.6534
4023,Multi,0.9196,290.3774
4068,Multi,0.8418,213.6355
4074,Multi,0.8084,208.8793
4090,Multi,0.8417,340.3197
4108,Multi,0.8171,79.0297
4109,Multi,0.7775,134.5472
4222,Multi,0.7600,136.2220
4234,Multi,0.9607,73.9339
4238,Single,0.3025,131.7500
4251,Multi,0.8412,212.8066
4252,Multi,0.4772,124.5259
4267,Multi,0.8492,335.4933
4287,Multi,0.9440,23.8579
4302,Multi,0.6735,109.1122
4388,Multi,0.6994,186.3002
4405,Single,0.9879,22.4378
4416,"No Label",0.4033,135.6853
4434,Multi,0.8350,86.5988
4453,Multi,0.9877,136.2877
4464,Multi,0.8516,98.5749
4469,Single,0.5951,57.7337
4488,Multi,0.7425,203.9432
4521,Multi,0.9910,69.6070
4523,Multi,0.9419,82.4950
4553,Single,0.6163,205.1523
4567,Multi,0.8930,69.2026
4573,Multi,0.6693,81.8882
4592,Multi,0.8963,46.9950
4604,Multi,0.7592,147.4045
4612,Multi,0.8295,156.8461
4641,Multi,0.7731,279.5978
4646,Multi,0.7098,218.8473
4654,Single,0.8075,101.1451
4663,Multi,0.7608,121.8943
4711,Multi,1.0000,267.3165
4735,Multi,0.7444,209.5467
4736,Multi,0.8166,241.7246
4742,Multi,0.9712,341.6984
4747,Multi,0.9646,107.0778
4765,Multi,0.8109,107.2656
4788,Multi,0.8363,136.9591
4816,Multi,0.5574,76.5620
4819,Multi,0.8040,207.8330
4846,Multi,0.9589,116.9126
4866,Multi,0.8818,257.2626
4867,Single,0.3525,153.8571
4900,Multi,0.7444,110.5165
4902,Single,0.8221,111.6250
4943,Single,0.7521,60.5568
4944,"No Label",0.9674,197.4508
4959,Multi,0.9428,179.3472
4986,Single,0.7020,198.2737
5031,Single,0.5403,125.3731
5048,Single,0.7733,32.5952
5049,Multi,0.9483,75.0735
5076,Multi,0.9088,292.6090
5101,Single,0.9863,57.6004
5121,Single,0.9727,56.0408
5142,Multi,0.6587,134.0449
5161,Multi,0.7299,64.7357
5162,Multi,0.9298,188.1405
5167,Multi,0.7700,189.5259
5184,Multi,0.6273,204.8362
5209,Multi,0.8217,79.8175
5210,Multi,0.9702,72.2001
5219,Multi,0.7975,145.7866
5223,Multi,0.8377,198.5393
5224,Multi,0.8172,49.4474
5230,Multi,0.9655,41.5944
5245,Multi,0.8318,41.0170
5297,Multi,0.8549,267.7594
5298,Multi,0.7434,29.7627
5308,Multi,0.9598,89.3617
5383,Single,0.5118,143.8378
5446,Multi,0.9406,244.3464
5455,Multi,0.8630,59.2940
5465,Multi,0.9679,32.1943
5478,Multi,0.9458,298.0675
5489,Multi,0.9484,102.5578
